formula,state,H,S,G
(NH4)2O,(l),-430.70096,267.52496,-267.10656
(NH4)2SiF6,(s hexagonal),-2681.69296,280.24432,-2365.54992
(NH4)2SO4,(s),-1180.85032,220.0784,-901.90304
Ag,(s),0,42.55128,0
Ag,(g),284.55384,172.887064,245.68448
Ag+1,(aq),105.579056,72.67608,77.123672
Ag2,(g),409.99016,257.02312,358.778
Ag2C2O4,(s),-673.2056,209.2,-584.0864
Ag2CO3,(s),-505.8456,167.36,-436.8096
Ag2CrO4,(s),-731.73976,217.568,-641.8256
Ag2MoO4,(s),-840.5656,213.384,-748.0992
Ag2O,(s),-31.04528,121.336,-11.21312
Ag2O2,(s),-24.2672,117.152,27.6144
Ag2O3,(s),33.8904,100.416,121.336
Ag2S,(s beta),-29.41352,150.624,-39.45512
Ag2S,(s alpha orthorhombic),-32.59336,144.01328,-40.66848
Ag2Se,(s),-37.656,150.70768,-44.3504
Ag2SeO3,(s),-365.2632,230.12,-304.1768
Ag2SeO4,(s),-420.492,248.5296,-334.3016
Ag2SO3,(s),-490.7832,158.1552,-411.2872
Ag2SO4,(s),-715.8824,200.4136,-618.47888
Ag2Te,(s),-37.2376,154.808,43.0952
AgBr,(s),-100.37416,107.1104,-96.90144
AgBrO3,(s),-27.196,152.716,54.392
AgCl,(s),-127.06808,96.232,-109.804896
AgClO2,(s),8.7864,134.55744,75.7304
AgCN,(s),146.0216,107.19408,156.9
AgF.2H2O,(s),-800.8176,174.8912,-671.1136
AgI,(s),-61.83952,115.4784,-66.19088
AgIO3,(s),-171.1256,149.3688,-93.7216
AgN3,(s),308.7792,104.1816,376.1416
AgNO2,(s),-45.06168,128.19776,19.07904
AgNO3,(s),-124.39032,140.91712,-33.472
AgO,(s),-11.42232,57.78104,14.2256
AgOCN,(s),-95.3952,121.336,-58.1576
AgReO4,(s),-736.384,153.1344,-635.5496
AgSCN,(s),87.864,130.9592,101.37832
Al,(s),0,28.32568,0
Al,(l),8.66088,35.22928,6.61072
Al,(g),326.352,164.4312,285.7672
Al(BH4)3,(l),-16.3176,289.1144,144.7664
Al(BH4)3,(g),12.552,379.0704,146.44
Al(CH3)3,(l),-136.3984,209.4092,-10.0416
Al(NO3)3.6H2O,(s),-2850.47552,467.7712,-2203.88016
Al(NO3)3.9H2O,(s),-3757.06464,569.024,-2929.6368
Al(OH)3,(s),-1284.488,71.128,-1305.8264
Al+3,(aq),-531.368,-321.7496,-485.344
Al2(CH3)6,(g),-230.91496,524.6736,-9.79056
Al2(SO4)3,(s),-3435.064,239.3248,-3506.6104
Al2Br6,(g),-1020.896,547.2672,-947.2576
Al2Cl6,(g),-1295.3664,475.5116,-1220.8912
Al2F6,(g),-2631.736,387.02,-2539.688
Al2I6,(g),-506.264,584.0864,-560.656
Al2O,(g),-131.3776,259.408,-161.084
Al2O3,(l),-1581.1336,89.57944,-1499.25272
Al2O3,(s gamma-corundum),-1656.864,59.8312,-1562.724
Al2O3,(s alpha-corundum),-1675.2736,50.91928,-1581.9704
Al2O3.3H2O,(s gibbsite),-2562.7,140.20584,-2287.3928
Al2O3.H2O,(s boehmite),-1974.848,96.8596,-1825.4792
Al2O3.H2O,(s diaspore),-1999.952,70.54224,-1840.96
Al2Si2O7.2H2O,(s halloysite),-4079.8184,203.3424,-3759.324
Al2Si2O7.2H2O,(s kaolinite),-4098.6464,202.924,-3778.152
Al2SiO5,(s andalusite),-2591.988,93.3032,-2444.7112
Al2SiO5,(s kyanite),-2596.172,83.80552,-2443.8744
Al2SiO5,(s sillimanite),-2593.2432,96.19016,-2442.6192
Al4C3,(s),-207.27536,104.6,-238.44616
Al4C3,(g),-215.8944,89.1192,-203.3424
Al6BeO10,(l),-5299.4544,314.88784,-5034.1888
Al6BeO10,(s),-5624.1328,175.56064,-5317.4456
Al6Si2O13,(s mullite),-6819.92,274.8888,-6443.36
AlBO2,(g),-541.4096,269.4496,-550.6144
AlBr3,(s),-511.11744,180.24672,-488.31464
AlBr3,(l),-501.20136,206.4804,-486.26448
AlBr3,(g),-410.8688,349.07112,-438.4832
AlC,(g),689.5232,223.34192,633.0392
AlCl,(g),-51.4632,227.86064,-77.8224
AlCl2,(g),-288.696,288.2776,-299.5744
AlCl3,(g),-584.5048,314.30208,-570.07
AlCl3,(s),-705.6316,109.28608,-630.06856
AlCl3,(l),-674.79552,172.92472,-618.186
AlCl3.6H2O,(s),-2691.5672,376.56,-2269.4016
AlF,(g),-265.2656,215.0576,-290.788
AlF2,(g),-732.2,263.1736,-740.568
AlF3,(s),-1510.424,66.48376,-1430.928
AlF3,(g),-1209.176,276.7716,-1192.8584
AlF3.3H2O,(s),-2297.4344,209.2,-2051.8336
AlH,(g),259.24064,187.77792,231.166
AlI3,(l),-297.064,219.66,-301.248
AlI3,(g),-205.016,363.1712,-251.04
AlI3,(s),-309.616,189.5352,-305.432
AlN,(s),-317.984,20.16688,-287.0224
AlN,(g),435.136,211.7104,410.032
AlO,(g),83.68,218.27928,57.7392
AlOCl,(s),-793.2864,54.392,-737.26264
AlOCl,(g),-348.1088,248.82248,-350.2008
AlOF,(g),-586.5968,234.26216,-587.0152
AlOH,(g),-179.912,216.3128,-184.096
AlPO4,(s berlinite),-1692.0096,90.7928,-1601.2168
AlS,(g),200.832,230.49656,150.2056
